train_end_idx,test_start_idx,test_end_idx,n_train_seq,n_test_seq,MAE_norm,RMSE_norm,MAPE_norm (%),Precision_norm (%),MAE_usd,RMSE_usd,MAPE_usd (%),Precision_usd (%)
600,600,700,580,100,0.028571295253786034,0.04009385935536684,2624979.7887307187,-2624879.7887307187,0.0006745682809418891,0.0009466160193802067,0.24990678305159708,99.7500932169484
700,700,800,680,100,0.02247543078812898,0.02861904221561075,61.40099321078814,38.59900678921186,0.0006580806134764161,0.0008379655560730825,0.24480007017441285,99.7551999298256
800,800,900,780,100,0.02055160488566951,0.027110138739772183,11.259702352608244,88.74029764739176,0.0006227136280357859,0.0008214372038150968,0.22906691295315645,99.77093308704684
900,900,1000,880,100,0.017402970261011123,0.02222839190424122,8.075037177441562,91.92496282255844,0.000527309998908636,0.00067352027469851,0.19321914106092225,99.80678085893908
1000,1000,1100,980,100,0.02343856816136398,0.029905449145575393,18.677246751704843,81.32275324829516,0.0007101886152893305,0.0009061351091109364,0.2626029886088319,99.73739701139117
1100,1100,1200,1080,100,0.023187504702521195,0.028825490049051092,16.56511990334018,83.43488009665982,0.0007025813924863928,0.0008734123484862488,0.2592058397863907,99.74079416021361
1200,1200,1300,1180,100,0.018999182930923234,0.026619476628357862,18.11736110570513,81.88263889429487,0.000575675242806974,0.0008065701418392443,0.21306007551818118,99.78693992448181
1300,1300,1400,1280,100,0.023628265686554694,0.029274575685113338,9.511393179354569,90.48860682064543,0.0007159364503026066,0.0008870196432589338,0.26071294517529453,99.7392870548247
